app,version,review_date,star_rating,review
instagram,'83.0',3/6/2019,5,I love this app it is so fun I love that we can follow people and text their friends but there are some difficulties of taking pictures
instagram,'83.0',3/6/2019,5,All i have to say is i rlly like this app i get to txt my best friend abd post stuff
instagram,'83.0',3/6/2019,5,Jadaboo
instagram,'83.0',3/6/2019,3,I was really enjoying this app until a few weeks ago when endless ads started popping up while I was working on a post. Very annoying.
instagram,'83.0',3/6/2019,4,I WILL GIVE THIS APP ONE MORE STAR IF YOU COULD PLEASE ADD SCHEDULED POSTING SO WHILE IM AWAY FROM SOCIAL MEDIA I COULD STILL POST EVEN WHEN IM NOT USING INSTAGRAM.
instagram,'83.0',3/6/2019,1,"hate the new profile format, please change it back"
instagram,'83.0',3/6/2019,5,Love the app
instagram,'83.0',3/6/2019,5,Hi just was just got
instagram,'83.0',3/6/2019,3,Why couldnt put URL on our stories?  Why only some people can do it?!  I hope u make it to all people
instagram,'83.0',3/6/2019,3,"Fix your garbage app, for some reason everything I go to sign in it says a problem occurred so please fix your trash app"
instagram,'83.0',3/6/2019,5,This is the best
instagram,'83.0',3/6/2019,2,"I have notifications on, but I only get the notifications when I open the app. Please fix"
instagram,'83.0',3/6/2019,4,i would love to have the countdown thingy before the 20th or March.
instagram,'83.0',3/6/2019,1,Every time I log out it never lets me log back in can you fix this problem and fast
instagram,'83.0',3/6/2019,5,"Instagram has been the most consistent app with updated, working content. Definitely surpasses my expectation."
instagram,'83.0',3/6/2019,5,Nice
instagram,'83.0',3/6/2019,1,This is ridiculous
instagram,'83.0',3/6/2019,1,Make it so you can view the people who viewed your stories again!! Not this 24 hours bs.
instagram,'83.0',3/6/2019,3,My post dont reach many people
instagram,'83.0',3/6/2019,1,Why would you take away who viewed your past histories.
instagram,'83.0',3/6/2019,5,Delgaldo11
instagram,'83.0',3/6/2019,5,Excelente
instagram,'83.0',3/6/2019,5,Thank you insta
instagram,'83.0',3/6/2019,4,"Hey instagram, Why is it, that I'm able to post on mobile devices instead of laptops. The icons on in the stores are misleading."
instagram,'83.0',3/6/2019,1,When the music feature first came out i allowed you to post in your story and look up a song a post it with the story. Now you have released an update and now i cant do that i been waiting for a fix. I got multiple accounts that the feature works but it just dont work on my account. Please fix it
instagram,'83.0',3/6/2019,4,Too many ads lately guys.
instagram,'83.0',3/6/2019,1,The app is not letting me log in from my phone but let me log in from everyone else phone
instagram,'83.0',3/6/2019,5,I love this App so  much but I never get the updates to update!!
instagram,'83.0',3/6/2019,5,I love it
instagram,'83.0',3/6/2019,1,"Tired of seeing the same posts. Tired of seeing posts from 2+ days ago. Just make it chronological order again, ffs."
instagram,'83.0',3/6/2019,5,Booty
instagram,'83.0',3/6/2019,3,My post dont reach many people
instagram,'83.0',3/6/2019,1,Why would you take away who viewed your past histories.
instagram,'83.0',3/6/2019,5,Delgaldo11
instagram,'83.0',3/6/2019,5,Excelente
instagram,'83.0',3/6/2019,5,Thank you insta
instagram,'83.0',3/6/2019,4,"Hey instagram, Why is it, that I'm able to post on mobile devices instead of laptops. The icons on in the stores are misleading."
instagram,'83.0',3/6/2019,1,When the music feature first came out i allowed you to post in your story and look up a song a post it with the story. Now you have released an update and now i cant do that i been waiting for a fix. I got multiple accounts that the feature works but it just dont work on my account. Please fix it
instagram,'83.0',3/6/2019,4,Too many ads lately guys.
instagram,'83.0',3/6/2019,1,The app is not letting me log in from my phone but let me log in from everyone else phone
instagram,'83.0',3/6/2019,5,I love this App so  much but I never get the updates to update!!
instagram,'83.0',3/6/2019,5,I love it
instagram,'83.0',3/6/2019,1,"Tired of seeing the same posts. Tired of seeing posts from 2+ days ago. Just make it chronological order again, ffs."
instagram,'83.0',3/6/2019,5,Booty
instagram,'83.0',3/6/2019,1,That profile update is ugly and stupid. pls go back to the previous.
instagram,'83.0',3/6/2019,4,"Love insta but I have no polls, question, or countdowns. How do I fix that"
instagram,'83.0',3/6/2019,4,my phone is up to date & so is the app but i have never had the music option is there a reason?
instagram,'83.0',3/6/2019,5,"A perfect platform to find, flirt and flourish, in fun, foto or fantasy like falcons flying far above the firmament. Feel free to find the first flash feelings in funstagram."
instagram,'83.0',3/6/2019,1,Can anyone tell meeeee why when i try to log in it says error ? Please help me
instagram,'83.0',3/6/2019,3,Insta needs to somehow resolve the big issue of accounts being hacked
instagram,'83.0',3/6/2019,1,Taking the joy out the app
instagram,'83.0',3/6/2019,3,Other than the crappy algorithms that restrict your post from being seen by all of your followers. Instead only a small percentage of followers see your work. It fits my needs.
instagram,'83.0',3/6/2019,1,Absolute garbage algorithms . All your fault Facebook .
instagram,'83.0',3/6/2019,5,Thank you
instagram,'83.0',3/6/2019,4,How do get rid of the shopping display I wanna look at memes not shop
instagram,'83.0',3/6/2019,1,Why take away viewers on stories after 24 hours how was that bothering anyone? Bring it back!!
instagram,'83.0',3/6/2019,1,Just like the subject. This app is not ipad friendly.
instagram,'83.0',3/6/2019,5,This app is amazing you can post stuff and it is not inappropriate!
instagram,'83.0',3/6/2019,5,I love it
instagram,'83.0',3/6/2019,3,"I began using IG instead of FB because of all the pop-up ads. Now I have the same issue with IG. Ads appear instead of posts from people I follow. My page is supposed to be private so apparently I have allowed the content to be used for commercial purposes in the long agreements that I didn't read, buyer/user beware. So I may have to take a social media break from it all. And, the posts from my real friends sporadically appears because I have made the mistake in judgement to follow so ""celebrities"" and it seems their content may take precedence?"
instagram,'83.0',3/6/2019,5,Incredible art community on IG!
instagram,'83.0',3/6/2019,1,I have the newest iPhone XS and the most recent update of instagram but cannot add music to my stories. With my last phone I had no problem at all with adding music
instagram,'83.0',3/6/2019,4,I have used Instagram for a while but for some reason I can not log into my account. Would be great if they can fix it.;
instagram,'83.0',3/6/2019,2,Why is that?
instagram,'83.0',3/6/2019,5,I need more followers
instagram,'83.0',3/6/2019,5,Wonderful app thanks
instagram,'83.0',3/6/2019,5,Perfect
instagram,'83.0',3/6/2019,1,Every time I post it disappears can someone fix it please
instagram,'83.0',3/6/2019,5,This app is amazing love it so much
instagram,'83.0',3/6/2019,5,"This app is amazing also WAY better than Twitter because you can do so much stuff on this app, and not only that make friends through this app also. I give it 5 stars."
instagram,'83.0',3/6/2019,5,Kk
instagram,'83.0',3/6/2019,1,Bro i hate the new update..
instagram,'83.0',3/6/2019,3,There should be a new update in which Instagram allows you to upload your pictures without having to crop or use a third party app to edit the size of it.  Gabriel Gonzague
instagram,'83.0',3/6/2019,5,The lest updating is ugly
instagram,'83.0',3/6/2019,5,Corbyn Besson Zach Herron  Daniel Seavey  Jonah Marais  Jack Avery
instagram,'83.0',3/6/2019,1,Every single top comment is tagging a bot account for likes and this app is broken af rn
instagram,'83.0',3/7/2019,5,very good app in world
instagram,'83.0',3/7/2019,3,just update to smart invert videos please
instagram,'83.0',3/7/2019,5,"After the newest update, videos on my feed will not play and I have to restart the app to get them to play. Additionally, stories will also not load, play, or be marked as seen when this bug occurs. This happens to my friends and I several times a day, please patch it! Thanks"
instagram,'83.0',3/7/2019,4,can you guys actually make our feed in chronological order PLEASE
instagram,'83.0',3/7/2019,5,Best app to communicate with the people around you :)
instagram,'83.0',3/7/2019,5,I love instagram so much
instagram,'83.0',3/7/2019,1,It has way to many glitches
instagram,'83.0',3/7/2019,5,Not letting me go live with people so plz fix it
instagram,'83.0',3/7/2019,1,For some reason I cannot use tools like music or link to url in my stories and it makes it frustrating sharing things with my account
instagram,'83.0',3/7/2019,1,"After most recent update, Instagram denied us the right to see who viewed our stories and highlight! Makes me feel unsafe not to be able to see my own data. Please fix this issue"
instagram,'83.0',3/7/2019,5,The best digital presentation of the highest level of luxury architecture and interior design and furnishings for your viewing and reading pleasure. Leo Dowell Designs
instagram,'83.0',3/7/2019,2,Constantly run into problem and have to re-edit the photos all over again
instagram,'83.0',3/7/2019,2,The update that was done beginning of March 2019 causes the app to freeze and shut down. This happened a couple months back and an old update fixed it. Fix it insta. Thanks.
instagram,'83.0',3/7/2019,5,YEET PEET DEEK LEEK REEK BEECH
instagram,'83.0',3/7/2019,1,"I have an issue accessing my main account and have almost no means of connecting with instagram to address this issue. I need to get back in to my account and instagram is extremely slow in responding, as well as uncooperative even though I am readily able to provide the information necessary to access my account."
instagram,'83.0',3/7/2019,5,I dig it
instagram,'83.0',3/7/2019,1,"when you want to change your password, the text message link never works"
instagram,'83.0',3/7/2019,5,Good app
instagram,'83.0',3/7/2019,5,Best ever
instagram,'83.0',3/7/2019,5,@Zefect_Trill
instagram,'83.0',3/7/2019,1,"i do not like it, change it back please"
instagram,'83.0',3/7/2019,5,Instagram is awesome but it would make me happier if i had the Music feature like everyone else.
instagram,'83.0',3/7/2019,1,"I have been trying to get any kind of help from Instagram customer service for last three weeks and to no avail. I am not able to log into my account and cannot get any assistance from Instagram. Multiple requests have been unanswered. Very frustrating , very unsettling"
instagram,'83.0',3/7/2019,3,If only you could see more posts at once and the links were clickable
instagram,'83.0',3/7/2019,5,Snapchat WHO???
instagram,'83.0',3/7/2019,5,Great app
instagram,'83.0',3/7/2019,2,"I would give a higher rating, but I'm concerned about location use. I've disabled location for all unnecessary apps and functions on my iPhone and enabled the ""status bar icon"" that notifies me when my location is being used. I have denied Instagram access to my location (selected ""never"" as opposed to ""while using"" from privacy settings), and yet every time I open the app, I see the location icon. Is it using my location without my permission??"
instagram,'83.0',3/7/2019,5,This app is awsome!
instagram,'83.0',3/7/2019,1,When tagged in a story and getting a notification about said post. I have also confirmed that myself and the user that posted the story are both updated to the latest app and have the settings turned on. Still not working right..
instagram,'83.0',3/7/2019,1,not letting me respond to my questions please fix this
instagram,'83.0',3/7/2019,5,I don't have the ew update were you can have music.
instagram,'83.0',3/7/2019,5,It's totally fun and inspirational. I love sharing my faith and inspiring others and this gives me the platform to encourage people within my realm of influence.
instagram,'83.0',3/7/2019,5,When I first got instagram I thought it was going to be a bad app but it is now my fav get instagram today
instagram,'83.0',3/7/2019,5,Fast and little but good clips
instagram,'83.0',3/7/2019,5,This app is so great
instagram,'83.0',3/7/2019,4,While the option to have multiple accounts is great. Switching from one to the other and signing in and out of accounts is often problematic.
instagram,'83.0',3/7/2019,2,Every time I play a video it plays another one instead of what I wanted to watch
instagram,'83.0',3/7/2019,4,BRING BACK CHRONOLOGICAL ORDER OF POSTS
instagram,'83.0',3/7/2019,2,There are too many ads
instagram,'83.0',3/7/2019,1,it logged me out of my main account and i keep trying to sign myself back in and it keeps sending me to my back up
instagram,'83.0',3/7/2019,5,Yay!!
instagram,'83.0',3/7/2019,4,Instagram is fun to look at and show proper your life but if your are under the age of 10 you should not have this app because there is social media and sometimes dangerous hackers and hacks.
instagram,'83.0',3/7/2019,5,This app is awsome!
instagram,'83.0',3/7/2019,1,When tagged in a story and getting a notification about said post. I have also confirmed that myself and the user that posted the story are both updated to the latest app and have the settings turned on. Still not working right..
instagram,'83.0',3/7/2019,1,not letting me respond to my questions please fix this
instagram,'83.0',3/7/2019,5,I don't have the ew update were you can have music.
instagram,'83.0',3/7/2019,5,It's totally fun and inspirational. I love sharing my faith and inspiring others and this gives me the platform to encourage people within my realm of influence.
instagram,'83.0',3/7/2019,5,When I first got instagram I thought it was going to be a bad app but it is now my fav get instagram today
instagram,'83.0',3/7/2019,5,Fast and little but good clips
instagram,'83.0',3/7/2019,5,This app is so great
instagram,'83.0',3/7/2019,4,While the option to have multiple accounts is great. Switching from one to the other and signing in and out of accounts is often problematic.
instagram,'83.0',3/7/2019,2,Every time I play a video it plays another one instead of what I wanted to watch
instagram,'83.0',3/7/2019,4,BRING BACK CHRONOLOGICAL ORDER OF POSTS
instagram,'83.0',3/7/2019,2,There are too many ads
instagram,'83.0',3/7/2019,1,it logged me out of my main account and i keep trying to sign myself back in and it keeps sending me to my back up
instagram,'83.0',3/7/2019,5,Yay!!
instagram,'83.0',3/7/2019,4,Instagram is fun to look at and show proper your life but if your are under the age of 10 you should not have this app because there is social media and sometimes dangerous hackers and hacks.
instagram,'83.0',3/7/2019,1,The new update is actually so bad idk why I had it on auto update
instagram,'83.0',3/7/2019,2,Can you please put the pictures back in order to Times they were posted? The new algorithm makes me miss photos. And I get less likes. No one likes it. Thanks
instagram,'83.0',3/7/2019,3,"I have over 1,000 posts I want to delete so I can make my account nice pristine and clean, but a) I can only delete one at a time and b) the app will let me delete the posts one by one but once I refresh the page all of the posts are still on my page? Please fix the issue with deleted posts coming back and allow mass deletion of posts"
instagram,'83.0',3/7/2019,5,It's lots of fun!
instagram,'83.0',3/7/2019,5,#Workflow @BenjaminTankHarris1
instagram,'83.0',3/7/2019,1,"I have asked many times & sent multiple support requests. I cannot add music to my stories. I had an iPhone X, and just upgraded to an XS Max. Music feature STILL DOESNT WORK. Instagram please respond to my emails!!!!!"
instagram,'83.0',3/7/2019,5,You will love it too!
instagram,'83.0',3/7/2019,5,Great
instagram,'83.0',3/7/2019,1,Quality is horrible when i upload pictures or videos
instagram,'83.0',3/7/2019,5,Nice
instagram,'83.0',3/7/2019,5,la mejor app
instagram,'83.0',3/7/2019,2,"I loved Instagram but these bot accounts are getting annoying. Every post I look at has at least 1000 bot accounts in the comments and on top of that now, when u tag a certain account (such as @haqnii) you automatically get 500 likes on your comment. This app is garbage now."
instagram,'83.0',3/7/2019,5,I love this app
instagram,'83.0',3/7/2019,4,Yes instagram needs a cover photo or background option !
instagram,'83.0',3/7/2019,1,"instagram has been DELETING accounts. i have a friend of mine, who had just hit 1k, and had been working on the account for a very long time, and her account was just deleted. please fix this issue. i know this is happening to many people/accounts."
instagram,'83.0',3/7/2019,2,I got a new email and forgot to change my email on my Instagram and now it is not letting me in and I am very mad. I would like for you to help please.
instagram,'83.0',3/7/2019,1,For some reason you had disable my last account for no reason so I have to create a new account and every time I try to make a new account it always Reject my sign on I am not happy about this and every time I try to add friends from Facebook it will never let me
instagram,'83.0',3/7/2019,1,It is highly recommended to support ipad
instagram,'83.0',3/7/2019,2,I have two accounts professional and personal. When I try to log in to my professional it takes me to my personal every time. This is ridiculous and it needs to be fixed
instagram,'83.0',3/7/2019,5,Love it
instagram,'83.0',3/7/2019,4,You need better filters and come up with your own ideas stop just stealing snapchats
instagram,'83.0',3/7/2019,3,The application is nice. The purpose is meaningless.
instagram,'83.0',3/7/2019,3,Stop the algorithm!!!
instagram,'83.0',3/7/2019,1,Please let us remove people from GroupChats! Let us be Administrators of a group chat!
instagram,'83.0',3/7/2019,1,"Your ads have gotten ridiculous. If it continues, I will and possibly move to another platform."
instagram,'83.0',3/7/2019,1,New posts automatically disappear.
instagram,'83.0',3/7/2019,1,Since the last update the main people I tag my dank memes to are missing.  Why you do this?
instagram,'83.0',3/7/2019,2,Please fix when videos get uploaded that the quality is not ruined it is ridiculous how bad the quality is
instagram,'83.0',3/7/2019,1,That REALLY is pissing me off
instagram,'83.0',3/7/2019,5,"Hi, Thanks for asking me to give you feedback. I faced a problem a few weeks ago and reported it twice, but unfortunately got no replies. I, as an active member, expect to get a prompt answer for any problems.  Regards!  Hossein,"
instagram,'83.0',3/7/2019,1,This app makes me wanna kill my self .
instagram,'83.0',3/7/2019,5,I really love Instagram! I love how you can do so much on your story and I love liking other peoples post
instagram,'83.0',3/7/2019,5,Why when I need make music in my pic I can found this option can you support me
instagram,'83.0',3/7/2019,2,There sights lean left. There are no more freethinkers anymore.   Someone needs to prepare soon
instagram,'83.0',3/7/2019,3,Everything is working perfect but when i want to add three or four pics just doesnt post it.
instagram,'83.0',3/7/2019,4,"I dont like The new update because i cant See anymore Who saw my stories from highlight, please do something about this"
instagram,'83.0',3/7/2019,4,Too many adds nowadays
instagram,'83.0',3/7/2019,5,"I love Instagram because you can make new friends, gain followers and post videos and pictures of you."
instagram,'83.0',3/7/2019,5,Excellent service
instagram,'83.0',3/7/2019,1,Bad update Why was the number of images in the pages removed?
instagram,'83.0',3/8/2019,4,"Biased,racist and provocateur of race wars! None the less not any better than the Bolsheviks killing millions left and right... good job clowns! You guys are a bunch of commie scums and you will face justice"
instagram,'83.0',3/8/2019,5,Excelente
instagram,'83.0',3/8/2019,1,A lot of Russian spam coming from group chats. No functionality to report such chats or setting to block anyone to add me to a chat.
instagram,'83.0',3/8/2019,4,I love to able to share my creativity it lags when in sending and posting but it could be WiFi other the entertainment categories is net.
instagram,'83.0',3/8/2019,5,I love Instagram is one of the best apps
