Timestamp,Have you used a shared scooter yet?,Do you think you'll use a shared scooter?,Where would you ride these scooters? ,Why would you use the scooters?,Feel free to expand: What do you like or dislike about scooters?
4/20/2018 9:00:00,Yes,Yes,Street/bike lane,"Fast, Convenient","I don't like seeing people ride the scooters without helmets (but I feel the same way about bikes). Also, I hate seeing people ride them on the sidewalk unless it is absolutely necessary (e.g. bike lane is blocked or crazy traffic on the street). "
4/20/2018 9:00:16,Yes,Yes,Sidewalk,"Cheap, Fast",Not stable enough to handle potential hazards on the road such as potholes
4/20/2018 9:06:06,No,Yes,Sidewalk,"Cheap, Fast, Convenient, I look hella cool and get to use all my old Razor tricks",
4/20/2018 9:06:33,Yes,Yes,Street/bike lane,"Fast, I look hella cool and get to use all my old Razor tricks",
4/20/2018 9:06:39,No,No,,,"it's really annoying when people zoom around on the sidewalks with little or no regard for pedestrians. It's already annoying when bikers ride on the sidewalk, but add scooters in, too, and it's a zoo. Sidewalks are for people walking, strollers, and dogs not motorized toys."
4/20/2018 9:06:50,Yes,Yes,Street/bike lane,"Cheap, Fast, Convenient",
4/20/2018 9:07:10,Yes,Yes,Sidewalk,"Cheap, Fast, Convenient, Easier for me to ride than bikes",They are in bad shape and don’t always work properly.
4/20/2018 9:08:15,No,No,Sidewalk,,Naive people get in the way in bike lanes
4/20/2018 9:10:31,No,Maybe,Street/bike lane,,Do not make sense in either bike lanes (as a slower but still motorized vehicle) or on sidewalks (as a motorized vehicle)
4/20/2018 9:12:48,Yes,Yes,Street/bike lane,"Fast, Fun!",
4/20/2018 9:13:38,No,No,,,I've tripped over them a few times. Not a fan of them or dockless bikes
4/20/2018 9:13:39,No,Maybe,Sidewalk,"Cheap, Convenient",
4/20/2018 9:13:43,No,Yes,Street/bike lane,"Cheap, Fast, Convenient, Easier for me to ride than bikes, FUN. How is that not already an option? Electric scooter are the bomb",Helmets are still pretty important but I have never once seen a person wearing one on one of these things. I wouldn't mind seeing that edu ad campaign on the side of our buses. Those little blob guys from the Metro ads would be cute on electric scooters....
4/20/2018 9:15:17,Yes,Yes,Street/bike lane,"Fast, Convenient, Easier for me to ride than bikes",
4/20/2018 9:21:02,Yes,Yes,Both,"Fast, Convenient, Fun",Not enough
4/20/2018 9:26:17,No,Maybe,Sidewalk,"Fast, Convenient",
4/20/2018 9:26:32,No,Yes,Sidewalk,"Fast, Convenient, Easier for me to ride than bikes",
4/20/2018 9:28:56,Yes,Yes,Street/bike lane,Convenient,"They are really only best when you happen upon one - I would never go searching around for a scooter, but if one happens to be where I am and I decide I don't want to walk, I would take one. "
4/20/2018 9:31:08,No,No,Street/bike lane,I wouldn't,They seem much less safe than a bicycle. Smaller tires on crappy roads don't mix well.
4/20/2018 9:35:04,No,Yes,Sidewalk,"Fast, Convenient",Being left all over the sidewalks and grassy areas like people have no common sense
4/20/2018 9:38:39,No,No,,,Difficult to ride
4/20/2018 9:39:01,Yes,Yes,Street/bike lane,"Cheap, Fast, Convenient, Easier for me to ride than bikes, I look hella cool and get to use all my old Razor tricks, SO MUCH FUN TO RIDE",
4/20/2018 9:40:01,No,No,Street/bike lane,,"Too many people ride them on the sidewalk, endangering themselves and other while weaving through pedestrian traffic at 15 miles per hour. They don't belong on the sidewalk, ever."
4/20/2018 9:40:18,No,No,Sidewalk,I look hella cool and get to use all my old Razor tricks,
4/20/2018 9:41:17,Yes,Yes,Street/bike lane,"Cheap, Fast, Convenient, Easier for me to ride than bikes",
4/20/2018 9:42:12,No,Maybe,Sidewalk,Convenient,If you fools ride those scooters in the bike lanes while I am trying to get where I am going I will RUN YOU DOWN
4/20/2018 9:45:19,Yes,Yes,Both depending on time of day ,"Cheap, Fast, Convenient, wont get as sweaty as biking/walking",Sometimes difficult to find them even when the app says they're right in front of you.  Am I losing my mind?!?  Are the scooter companies running an social experiment on me!?!?
4/20/2018 9:46:28,Yes,Maybe,Sidewalk,"Convenient, Easier for me to ride than bikes",They are actually pretty expensive and not as fast as a bike-share bike when you think about it. 
4/20/2018 9:49:51,Yes,Yes,Street/bike lane,"They're fun to try out. You don't look particularly cool, but its a fun experience.","I think grown adults on scooters looks a bit silly, but they are fun. I've tried them before with friends. At first they are a bit intimidating because you don't feel as in control as one might with a bike. You legally need to ride them in the bike lanes and I felt like I was in the way of cyclists. Also since they are smaller, I feel that cars are not as aware of the presence of scooter-riders."
4/20/2018 9:51:35,No,Maybe,Sidewalk,fun,
4/20/2018 9:52:24,No,Yes,Sidewalk,"Cheap, Fast",
4/20/2018 10:05:40,Yes,Yes,Both,"Cheap, Fast, Convenient, I look hella cool and get to use all my old Razor tricks",They are awesome! 
4/20/2018 10:06:24,No,Maybe,,,The whole dockless trend is intrusive. These companies shouldn't be able to just leave their products laying in sidewalks or other public spaces. 
4/20/2018 10:06:28,No,Maybe,Street/bike lane,Convenient,"like that it's an extra way to get around without being in a car/potential for accessibility for all; dislike sharing space with them (as a pedestrian/cyclist)/worrying that they'll run into me, or that scooter users will be harmed by motorized vehicles."
4/20/2018 10:07:38,No,Maybe,Street/bike lane,"Cheap, Fast",dislike that they are being used in bike lanes. also dislike that they are being left all over sidewalks
4/20/2018 10:08:35,Yes,Yes,Street/bike lane,"Cheap, Convenient","So many I find along the way are broken.  It's a real bummer, man"
4/20/2018 10:15:51,No,Yes,Street/bike lane,"Cheap, Convenient",
4/20/2018 10:17:01,No,No,Street/bike lane,,"I think the same feelings I have about E-scooters I have about E-bikes. I bike everywhere, and when I see these two new options on the road, I keep having the same thought- ""Please do not make us look bad."" Not everyone is a bad actor on these scooters, but I don't think there has been enough, if any, protocol outreach about them. As a cyclist, I don't know what to do with them, as a pedestrian, I get irritated when they are plopped in the middle of a sidewalk or wheelchair ramp, but I most specifically don't know how to deal with them in the streets. I'm pretty well versed in bike traffic law, but if I can't tell what to do with scooters, how can a suburban driver from Maryland know what to do with them?"
4/20/2018 10:17:18,No,Maybe,Sidewalk,"Cheap, Fast, Convenient",only reservation is people just look so goofy riding them
4/20/2018 10:23:03,No,Maybe,Idk but i do NOT want them in the bike lane!!!,"Fast, Convenient",They ride in the bike lane and slow down bike traffic.
4/20/2018 10:28:17,No,Maybe,Street/bike lane,Easier for me to ride than bikes,Cost is higher than bike share.  They are still not widely available in all parts of DC.  Specifically where I live in SE.
4/20/2018 10:28:32,No,Yes,Sidewalk,"Fast, Convenient","DC is so small and it doesn’t make sense to take a car for the 1 mile I’m going.  Cars add pollution, traffic and drivers are fucking nuts in this city.  Having access to a scooter may alleviate some or all of those issue...may."
4/20/2018 10:30:00,No,No,Street/bike lane,Convenient,"Riders are always pushing me off the sidewalk or getting in the way, and the scooters get left haphazardly on the sidewalk "
4/20/2018 10:38:40,No,Maybe,Street/bike lane,"Cheap, Fast, Convenient",
4/20/2018 10:38:51,Yes,Yes,Both,"Cheap, Fast, Convenient",
4/20/2018 10:46:56,No,Yes,Street/bike lane,Novelty ,"I haven't tried one yet, mostly because I'm unclear where the right place is to ride them. "
4/20/2018 10:50:27,No,No,,,I dislike the way people leave them strewn across the sidewalk. 
4/20/2018 10:51:15,Yes,Yes,Both--sidewalk if there are no bike lanes,"Cheap, Fast, Convenient, I look hella cool and get to use all my old Razor tricks",I dislike that they need to be charged individually.
4/20/2018 10:52:14,No,Maybe,Street/bike lane,"Cheap, Convenient, I look hella cool and get to use all my old Razor tricks",
4/20/2018 10:54:11,No,No,Street/bike lane,I wouldn't,I hate them. They're everywhere and people just leave them littered around the sidewalk and street. And people on them seem to forget they have to obey rules of the road or be considerate human beings.
4/20/2018 11:00:12,Yes,Yes,"Depends on the condition of the road or sidewalk, I've used both","Fast, It's a lot of fun to ride!",
4/20/2018 11:01:29,No,Maybe,Sidewalk,"Cheap, Fast, Convenient",not cool
4/20/2018 11:03:06,No,Maybe,Street/bike lane,Convenient,"I see many riders not caring too much for the helmet rule, zipping trough pedestrians on sidewalks and cars on the street, often with a careless hipster listening to music on earphones. It is a matter of time until injuries and possibly fatalities happen.  "
4/20/2018 11:04:01,Yes,Yes,Street/bike lane,"Fast, Convenient, I look hella cool and get to use all my old Razor tricks","Cost is a little high to commute every day but when the weather's nice, scooting is a great way to experience DC from a more relaxed and fun perspective."
4/20/2018 11:07:44,No,Yes,Sidewalk,Because they are so absurd !,
4/20/2018 11:09:02,No,Maybe,Sidewalk,"Cheap, Fast, Easier for me to ride than bikes",
4/20/2018 11:14:40,No,Yes,Sidewalk,"Cheap, Fast, Convenient",
4/20/2018 11:15:54,Yes,Yes,Street/bike lane,"Cheap, Fast, Convenient, Easier for me to ride than bikes, I look hella cool and get to use all my old Razor tricks",
4/20/2018 11:25:15,Yes,Yes,Street/bike lane,"Fast, Convenient",I LOVE THESE SCOOTERS I HOPE THEY NEVER LEAVE THE CITY!!!!!!!!!!!!!
4/20/2018 11:27:05,No,Maybe,Sidewalk,"Fast, Easier for me to ride than bikes, I look hella cool and get to use all my old Razor tricks",I just worry about getting stranded with a dead battery. 
4/20/2018 11:32:44,Yes,Yes,Sidewalk,I look hella cool and get to use all my old Razor tricks,
4/20/2018 11:41:47,No,No,Street/bike lane,,"If I'm being honest the scooters are probably fine, but I'm a diehard bike nerd and it makes me sad to think that people are abandoning the healthy exercise and fun of bikes to clog up sidewalks on these dumb-looking things :'("
4/20/2018 11:46:58,Yes,Yes,Street/bike lane,"Cheap, Fast, Convenient, Easier for me to ride than bikes",
4/20/2018 12:01:46,Yes,Yes,Sidewalk,Convenient,
4/20/2018 12:02:06,No,Maybe,Street/bike lane,"Convenient, If you're wearing a dress that's too stiff for a bike and/or there are no bikes around, this could work. I've thought about it when I have a dress on, but just haven't wanted it enough yet.",WHAT'S NEXT? WHEELIES?!
4/20/2018 12:21:17,No,Yes,Sidewalk,"Convenient, I look hella cool and get to use all my old Razor tricks",
4/20/2018 12:22:11,No,Yes,Sidewalk,for the experience ,
4/20/2018 12:23:45,No,Yes,Street/bike lane,"Fast, Convenient","Unlike waiting for a bus or the train, as long as a scooter is available, you can use it immediately.  Nicely, they require little effort and can be used without much sweat or while wearing a skirt.  However, they can be costly: a 20 minute ride is $4--much more expensive and lower range compared to 30 minutes of dockless bikeshare for only $1."
4/20/2018 12:25:54,Yes,Yes,Both! ,"Cheap, Fast, Convenient",
4/20/2018 12:27:01,No,No,Sidewalk,Convenient,
4/20/2018 12:59:47,Yes,Yes,Street/bike lane,"Cheap, Fast, Convenient, Fun",Braking is scarier than on a bike
4/20/2018 13:24:33,No,Yes,Sidewalk,"Fast, Convenient, Easier for me to ride than bikes, I look hella cool and get to use all my old Razor tricks",
4/20/2018 13:26:44,No,Maybe,a mix of both depending on where I was ,"Cheap, Fast, Convenient","I think they're pretty funny and harmless urban clutter, but urban clutter nonetheless"
4/20/2018 13:37:37,No,Maybe,Sidewalk,Fast,Obnoxious for pedestrians and cyclists.
4/20/2018 13:45:04,No,No,Sidewalk,,
4/20/2018 13:49:19,No,Yes,Sidewalk,"Fast, Convenient","There often not found where the map indicates they should be. Also, they are frequently ""under maintenance""."
4/20/2018 13:53:07,Yes,Yes,Street/bike lane,"Cheap, Fast, Convenient",People hide them in their personal garages etc which has led me to many an easter egg walk where the GPS says the scooter is available but there is no scooter to be seen. 
4/20/2018 14:07:47,Yes,Yes,"depends on where - if there is a bikelane yes, busy street w/o bike lane i would opt for sidewalk. similar to what i would do on a bike",I look hella cool and get to use all my old Razor tricks,"They look fun and are fun! easy and cheap helps too. only dislike is i'm a little scared to use them on hills. haven't tried yet, but i feel like for downhill the breaks aren't great, and for uphill i feel like it would be super slow. thanks! "
4/20/2018 14:18:04,Yes,Yes,Street/bike lane,"Cheap, Fast, Convenient","I like them overall, but dislike the lack of regulation and resulting safety risk"
4/20/2018 14:25:25,No,Yes,Street/bike lane,"Fast, Convenient",
4/20/2018 14:56:20,No,Maybe,Sidewalk,"Fast, Convenient","I like that they are less ""invasive when left parked at random,"" however, I dislike how many times I've almost been hit by a person zooming by me on the sidewalk on one of these inaudible, zippy contraptions.   "
4/20/2018 15:27:09,Yes,Yes,Street/bike lane,"Fast, I look hella cool and get to use all my old Razor tricks",
4/20/2018 15:40:06,No,Yes,Street/bike lane,"Cheap, Fast, Convenient, fun",
4/20/2018 16:09:25,No,No,Sidewalk,"If I couldn't find a bike anywhere in the vicinity, it would take too long to walk, I didn't have enough money to order a Lyft, and the Metro was down/couldn't take me where I needed to go. This is the only scenario in which I would take a scooter.","I don't understand why these were introduced right at the same time as dockless bike shares. I feel like the main concern with the bike share options in the District were that you were dock-bound, meaning it was harder to get to certain places or harder to plan your routes around the docks. The dockless bike share options solved this. So why scooters? There's no benefit to using these over bikes - in fact, it's introducing more problems because they're too fast for sidewalks but too slow and bulky for bike/traffic lanes, and people are leaving them just anywhere they get tired of them. It seems like this was solving a problem that didn't exist, or it was the motorized scooter lobby (lol I hope this is a thing that truly exists) pushing for more sales and convincing these bike share companies that scooters would be a good idea. It doesn't seem like the companies gave the dockless bike shares enough time to exist in these city spaces before introducing scooters as another option for users who still weren't satisfied. Give me the data that says these are better/easier to use than dockless bikes! It's just a segway but for 90s kids who weren't rich enough to have a personal motorized scooter when they were younger! It's pointless! They're clogging up the sidewalks! Just take a bike! Take the Jump bikes with the motor in them if you want to go fast without putting in effort! Stop getting in my way on the sidewalks! Down with scooters!"
4/20/2018 16:16:17,No,No,I absolutely wouldn't.,I really would not use the scooter.,"No one wears a helmet and they take up too much precious sidewalk space, when people already walk too slow to begin with!"
4/20/2018 17:26:50,No,No,Street/bike lane,,
4/20/2018 19:39:12,Yes,Yes,Street/bike lane,"Fast, Convenient, Easier for me to ride than bikes",
4/20/2018 21:48:27,Yes,Yes,Street/bike lane,"Cheap, Fast, Convenient, Easier for me to ride than bikes, It’s fun","Big picture: I think scooters help push towards a car-less environment which is where I believe I should good.

Nitty-Gritty: I think scooters are disruptive to bikers and pedestrians in a negative way as they are easy to navigate through people and vehicles without consideration "
4/20/2018 22:31:21,No,No,,Fast,
4/21/2018 0:20:05,Yes,Yes,Street/bike lane,"Cheap, Fast, Convenient, Easier for me to ride than bikes, It’s fun","Big picture: I think scooters help push towards a car-less environment which is where I believe I should good.

Nitty-Gritty: I think scooters are disruptive to bikers and pedestrians in a negative way as they are easy to navigate through people and vehicles without consideration "
4/21/2018 2:52:39,No,Maybe,Street/bike lane,"Cheap, Convenient","I mean, they're ok as long as people use the bike lanes or roads. But otherwise, I'm not terribly interested in them."
4/21/2018 10:05:47,Yes,Yes,Street/bike lane,"Cheap, Fast, Convenient, Easier for me to ride than bikes, I look hella cool and get to use all my old Razor tricks",They're the tits
4/21/2018 11:00:00,No,No,Sidewalk,I look hella cool and get to use all my old Razor tricks,They're always in the way. Terrible.
4/21/2018 11:28:15,No,No,Sidewalk,,"They do not belong in bike lanes and should stay on the sidewalk wherever possible; they get in bikers' way because they are too slow! Also, people are dumb and leave them in inconvenient places--in the middle of sidewalks and directly in front of bikeshare docks. Not against the scooters, necessarily, but there should be clear guidelines or regulations on their use from the provider and the city."
4/21/2018 12:50:14,Yes,Yes,Street/bike lane,"Cheap, Fast, Convenient, I look hella cool and get to use all my old Razor tricks, FUN!","Seriously, they're a blast"
4/21/2018 20:46:26,No,Maybe,Street/bike lane,"Convenient, I look hella cool and get to use all my old Razor tricks",When they beep at you when you're just walking by
4/22/2018 16:41:14,No,Yes,Street/bike lane,"Cheap, Fast, Convenient",
4/22/2018 21:46:29,Yes,Yes,Street/bike lane,"Cheap, Convenient, They are available when bikes are all gone from downtown during rush hour",They are OK. It's good to have another option when the bikes are all gone and the metro/bus is F#$@! up
4/23/2018 6:46:32,No,No,Sidewalk,,
4/23/2018 8:02:06,No,No,Sidewalk,,
4/23/2018 9:36:29,No,No,NO WHERE,,
4/23/2018 10:38:57,No,Maybe,Street/bike lane,"Fast, Convenient",There is a problem (even more so with bikes) with people sequestering them off in homes or other spots where they will be available only to that user. There are some tweaks to be made!
4/23/2018 13:02:57,No,Yes,Street/bike lane,"Fast, I look hella cool and get to use all my old Razor tricks",
4/23/2018 13:44:02,No,Maybe,,"Cheap, Fast, Convenient, Easier for me to ride than bikes, i dont know how to ride a bike well enough! ",
4/23/2018 14:25:47,Yes,Yes,Sidewalk,"Cheap, Fast, Convenient, I look hella cool and get to use all my old Razor tricks",
4/23/2018 16:23:49,No,No,,,"These things are the worst! People scooting on sidewalks, in bike lanes, on the street. Folks have no idea where they can and can't go and just end up in the way. Not cool."
4/24/2018 15:11:26,No,Maybe,Street/bike lane,"Fast, Convenient, Easier for me to ride than bikes",It concerns me that they don't come with helmets or require a helmet to ride. 
5/1/2018 9:36:56,No,No,"Scooters are to fast for sidewalks and too slow for roadways, especially since they don’t come with helmets.","Not safe, not cool",See above.
5/3/2018 13:12:01,Yes,Yes,Street/bike lane,"Fast, Convenient","there is a serious problem with folks stealing/destroying scooters. apps such as limebike need a feature to report a scooter ""not accessible"" or ""out of service"". several times now,  i have been looking for a particular scooter only to find it's location tracker coming from inside an apartment or residence, or *literally* broken in half on the ground."
